,Designer Names,Plays,Number of Plays,Tony?,Number of Tony Nominations/Wins
73,donald brooks,"['dance a little closer', 'carmelina', 'monteith rand', 'comedy with music', 'a party with betty comden adolph green', 'a musical jubilee', 'summer brave', 'the member of the wedding', 'good news', 'holiday', 'night watch', 'minnies boys', 'last of the red hot lovers', 'promises promises', 'on a clear day you can see forever', 'flora the red menace', 'diamond orchid', 'poor bitos', 'beekman place', 'fade out  fade in', 'barefoot in the park', 'no strings']",22,0,0
74,james brown iii,"['ruben clays first annual christmas carol family fun pageant spectacular reunion show', 'harry potter and the cursed child parts one and two', 'frozen', 'home for the holidays', 'rocky', 'ghost the musical', 'priscilla queen of the desert', 'memphis', 'the little mermaid', 'the color purple', 'the frogs', 'wicked']",12,0,0
75,lewis brown,"['the government inspector', 'mule bone', 'a flea in her ear', 'fire', 'jimmy shine', 'the persecution and assassination of jean paul marat as performed by the inmates of the asylum of charenton under the direction of the marquis de sade']",6,0,0
76,michael brown,"['cat on a hot tin roof', 'private lives', 'the crucible', 'the rocky horror show', 'the price']",5,0,0
77,paul brown,"['man of la mancha', 'medea']",2,0,0
78,bothwell browne,['miss jack'],1,0,0
79,wilfred buckland,"['the green cockatoo', 'hannele', 'pillars of society', 'the rose of the rancho', 'a grand army man', 'the rose of the rancho', 'the rose of the rancho', 'adrea', 'adrea', 'the music master', 'the darling of the gods', 'the darling of the gods', 'du barry', 'the little minister']",14,0,0
80,remo bufano,"['alice in wonderland', 'a pound on demand  androcles and the lion', 'on the town', 'the skin of our teeth', 'may wine', 'jumbo', 'noah', 'the chinese nightingale', 'as thousands cheer', 'alice in wonderland', 'last night of don juan  the pilgrimage', 'puppets', 'wake up jonathan', 'exorcism']",14,0,0
81,irene bunis,['meet me in st louis'],1,0,0
82,edward burbridge,"['mule bone', 'checkmates', 'reggae', 'the first breeze of summer', 'absurd person singular', 'what the wine sellers buy', 'holiday', 'chemin de fer', 'the visit', 'the river niger', 'status quo vadis', 'buck white', 'our town', 'does a tiger wear a necktie', 'jimmy shine', 'mike downstairs', 'the persecution and assassination of jean paul marat as performed by the inmates of the asylum of charenton under the direction of the marquis de sade']",17,0,0
83,harry burnett,"['its a small world', 'mister noah and march of rhyme']",2,0,0
84,john bury,"['the petition', 'amadeus', 'betrayal', 'no mans land', 'via galactica', 'old times', 'hedda gabler', 'a dolls house', 'the rothschilds', 'the homecoming', 'the physicists', 'oh what a lovely war']",12,1,4
85,scott bushnell,['come back to the'],1,0,0
86,helen butler,['six dance lessons in six weeks'],1,0,0
87,jeanne button,"['the twilight of the golds', 'broadway', 'arsenic and old lace', 'the dresser', 'home', 'king richard iii', 'wings', 'the robber bridegroom', 'the robber bridegroom', 'king henry v', 'the watering place', 'the freaking out of stephanie blake']",12,0,0
88,alexandra byrne,['some americans abroad'],1,1,1
89,john byrne,['slab boys'],1,0,0
90,philip campanella,"['philadelphia here i come', 'the homecoming', 'a taste of honey', 'the plays the thing']",4,0,0
91,patton campbell,"['man of la mancha', 'man of la mancha', 'man of la mancha', 'loot', 'the natural look', 'come live with me', 'agatha sue i love you', 'wait a minim', 'man of la mancha', 'the glass menagerie', 'all american', 'kean', 'the conquering hero', 'tenderloin', 'there was a little girl', 'fiorello', 'redhead', 'howie', 'makropoulos secret', 'four winds', 'a hole in the head', 'fallen angels', 'all in one']",23,0,0
92,pierre cardin,['the lady of the camellias'],1,0,0
93,hattie carnegie,"['second threshold', 'tonight at', 'state of the union', 'the overtons', 'soldiers wife', 'lady in the dark', 'lady in the dark', 'the dark tower']",8,0,0
94,ricardo carpani,['tango pasion'],1,0,0
95,lincoln j carter,"['an american ace', 'dancing around', 'the cat and the fiddle', 'while frisco burns', 'bedfords hope', 'the eye witness', 'the flaming arrow', 'daughters of the poor', 'chattanooga', 'remember the maine', 'under the dome', 'heart of chicago']",12,0,0
96,oleg cassini,"['come on strong', 'critics choice', 'his and hers', 'as the girls go']",4,0,0
97,castillo,"['goldilocks', 'the visit', 'the tower beyond tragedy', 'ring round the moon', 'medea', 'my name is aquilon', 'bravo', 'inside usa', 'the plays the thing', 'medea', 'present laughter']",11,0,0
98,stewart chaney,"['a severed head', 'the', 'the hidden river', 'sherlock holmes', 'a girl can tell', 'late love', 'much ado about nothing', 'lo and behold', 'seventeen', 'the moon is blue', 'the king of fridays men', 'the house of bernarda alba', 'great to be alive', 'design for a stained glass window', 'i know my love', 'the ivy green', 'my name is aquilon', 'red gloves', 'life with mother', 'sally', 'you never can tell', 'doctor social', 'the druid circle', 'an inspector calls', 'laura', 'bathsheba', 'craigs wife', 'obsession', 'the winters tale', 'a joy forever', 'dunnigans daughter', 'mr strauss goes to boston', 'signature', 'one man show', 'many happy returns', 'trio', 'laffing room only', 'the late george apley', 'embezzled heaven', 'down to miami', 'dream with music', 'pretty little parlor', 'public relations', 'the house in paris', 'jacobowsky and the colonel', 'the duke in darkness', 'the voice of the turtle', 'the worlds full of girls', 'the innocent voyage', 'blithe spirit', 'threes a family', 'dark eyes', 'the morning star', 'the lady comes across', 'sunny river', 'blithe spirit', 'the more the merrier', 'twelfth night', 'suzanna and the elders', 'an international incident', 'life with father', 'wuthering heights', 'having wonderful time', 'but for the grace of god', 'aged', 'hedda gabler', 'hamlet', 'spring dance', 'new faces of', 'ghosts', 'parnell', 'o evening star', 'ghosts', 'parnell', 'times have changed', 'on to fortune', 'the old maid', 'dream child', 'the bride of torozko', 'kill that story']",80,0,0
99,michael chekhov,"['new opera co ballet imperial  the fair at sorochinsk', 'twelfth night', 'the possessed', 'revisor']",4,0,0
100,robert christen,['the song of jacob zulu'],1,0,0
101,deirdre clancy,"['a dolls house', 'wild honey', 'strange interlude', 'the innocents']",4,0,0
102,peggy clark,"['musical chairs', 'how the other half loves', 'last of the red hot lovers', 'jimmy', 'darling of the day', 'the rose tattoo', 'the best laid plans', 'guys and dolls', 'poor richard', 'bajour', 'the girl who came to supper', 'pal joey', 'brigadoon', 'eddie fisher at the winter garden', 'romulus', 'sail away', 'mary mary', 'show girl', 'under the yum yum tree', 'the unsinkable molly brown', 'bye bye birdie', 'a distant bell', 'goodbye charlie', 'chri', 'billy barnes revue', 'juno', 'flower drum song', 'say darling', 'present laughter', 'nude with violin', 'carousel', 'brigadoon', 'eugenia', 'the potting shed', 'bells are ringing', 'auntie mame', 'new faces of', 'mr wonderful', 'the righteous are bold', 'no time for sergeants', 'will success spoil rock hunter', 'threepenny opera', 'plain and fancy', 'peter pan', 'on your toes', 'in the summer house', 'kismet', 'the trip to bountiful', 'wonderful town', 'maggie', 'of thee i sing', 'pal joey', 'paint your wagon', 'the high ground', 'bless you all', 'all you need is one good break', 'gentlemen prefer blondes', 'touch and go', 'miss liberty', 'along fifth avenue', 'the rape of lucretia', 'love life', 'look ma im dancin', 'topaze', 'medea', 'high button shoes', 'brigadoon', 'beggars holiday', 'billion dollar baby', 'devils galore', 'dark of the moon', 'on the town', 'laffing room only', 'mexican hayride', 'ramshackle inn', 'counterattack', 'the great big doorstep', 'uncle harry', 'gabrielle']",79,0,0
103,antoine clave,"['les ballets de paris', 'roland petits les ballets de paris', 'roland petits les ballets de paris']",3,0,0
104,anthony clavet,['my one and only'],1,0,0
105,william h clements,['charlie and algernon'],1,0,0
106,warren clymer,"['write me a murder', 'silk stockings', 'fanny']",3,0,0
107,gene coffin,"['the', 'jollys progress', 'affair of honor', 'someone waiting', 'dear charles']",5,0,0
108,alvin colt,"['if you ever leave meim going with you', 'waiting in the wings', 'the herbal bed', 'sacrilege', 'comedy tonight', 'accomplice', 'jerome robbins broadway', 'broadway follies', 'the roast', 'lorelei', 'sugar', 'the goodbye people', 'golden rainbow', 'henry sweet henry', 'tonight at', 'a touch of the poet', 'the imaginary invalid', 'the paisley convertible', 'something more', 'the crucible', 'the seagull', 'heres love', 'the beauty part', 'the aspern papers', '', 'wildcat', 'christine', 'greenwillow', 'destry rides again', 'first impressions', 'say darling', 'blue denim', 'the infernal machine', 'rumple', 'copper and brass', 'mary stuart', 'livin the life', 'lil abner', 'diary of a scoundrel', 'the sleeping prince', 'the littlest revue', 'a month in the country', 'six characters in search of an author', 'pipe dream', 'the lark', 'the carefree tree', 'phoenix', 'finians rainbow', 'guys and dolls', 'fanny', 'the golden apple', 'madam will you walk', 'the frogs of spring', 'top banana', 'guys and dolls', 'clutterbuck', 'music in my heart', 'barefoot boy with cheek', 'around the world', 'on the town']",60,0,0
109,gardner compton,"['oh calcutta', 'oh calcutta']",2,0,0
110,ha condell,"['springtime for henry', 'the barrier', 'andrea chenier', 'ariadne auf naxos', 'yours is my heart', 'madame butterfly', 'the pirates of penzance', 'the gypsy baron', 'faust', 'carmen', 'la bohme', 'the gypsy baron', 'la bohme', 'nathan the wise']",14,0,0
111,john conklin,"['a streetcar named desire', 'awake and sing', 'the philadelphia story', 'the bacchae', 'bully', 'romeo and juliet', 'rex', 'the leaf people', 'cat on a hot tin roof', 'lorelei', 'the au pair man', 'scratch', 'a place without doors', 'tambourines to glory', 'tchin tchin']",15,1,1
112,mathilde cottrelly,"['potash and perlmutter detectives', 'the good old days', 'abies irish rose', 'his honor abe potash', 'friendly enemies', 'business before pleasure', 'bosom friends', 'object  matrimony', 'abe and mawruss', 'the bubble', 'the five frankfurters', 'blackbirds', 'elevating a husband', 'the cheater', 'the man who stood still', 'the jesters', 'the toymaker of nuremberg', 'the step sister', 'her great match', 'trilby', 'once upon a time', 'mamselle napoleon', 'the girl and the judge', 'children of the ghetto', 'trilby', 'clover', 'the begum', 'jacquette', 'the black hussar', 'lorraine', 'the beggar student', 'the queens lace handkerchief', 'the queens lace handkerchief', 'the queens lace handkerchief']",34,0,0
113,bob crowley,"['my name is lucy barton', 'the inheritance', 'an american in paris', 'skylight', 'the audience', 'aladdin', 'the glass menagerie', 'once', 'a moon for the misbegotten', 'the year of magical thinking', 'the coast of utopia part', 'the coast of utopia part', 'the coast of utopia part', 'mary poppins', 'tarzan', 'the history boys', 'sweet smell of success', 'the invention of love', 'aida', 'putting it together', 'amys view', 'the iceman cometh', 'twelfth night', 'the judas kiss', 'the capeman', 'racing demon', 'carousel', 'les liaisons dangereuses']",28,1,7
114,audrey cruddas,"['king henry v', 'hamlet', 'macbeth', 'antony and cleopatra', 'caesar and cleopatra']",5,0,0
115,douglas j cuomo,"['the women', 'design for living', 'the plays the thing', 'the molire comedies', 'hedda gabler', 'no mans land', 'white liars black comedy', 'candida', 'anna christie', 'the show off', 'the real inspector hound and the fifteen minute hamlet', 'the price', 'hamlet', 'the visit']",14,0,0
116,brian currah,"['after the rain', 'the caretaker']",2,0,0
117,asadata dafora,['kykunkor'],1,0,0
118,arnold daly,"['juarez and maximilian', 'the masque of venice', 'leah kleschna', 'fashions of', 'on the stairs', 'voltaire', 'the wife with the smile and bourbouroche', 'the childrens tragedy', 'the tavern', 'democracys king', 'the master', 'josephine', 'the very minute', 'the master', 'beau brummell', 'the angel in the house', 'candida', 'arms and the man', 'you never can tell', 'general john regan', 'steve', 'know thyself', 'the regeneration', 'candida', 'the shirkers', 'washingtons first defeat', 'how he lied to her husband', 'the van dycke', 'after the opera', 'the flag station', 'kathleen ni houlihan', 'the hour glass', 'a japanese lady', 'the jashiwara', 'the spy of the government', 'a japanese ophelia', 'a japanese doll', 'the flag station  the lemonade boy  the monkeys paw', 'the boys of company b', 'how he lied to her husband', 'arms and the man', 'mrs warrens profession', 'john bulls other island', 'you never can tell', 'how he lied to her husband', 'candida', 'the prince consort', 'you never can tell', 'the man of destiny  how he lied to her husband', 'the man of destiny', 'candida', 'major andre', 'a fool and his money', 'cynthia', 'the bird in the cage', 'hearts aflame', 'hearts aflame', 'lady margaret', 'are you a mason', 'the lash of a whip  the shades of night', 'self and lady', 'barbara frietchie', 'because she loved him so']",63,0,0
119,daphne dare,"['macbeth', 'abelard and heloise']",2,0,0
120,marie hlne dast,"['le chien du jardinier  les adieux', 'christophe colomb', 'hamlet', 'amphitryon  les fourberies de scapin', 'le proces', 'les fausses confidences  baptiste', 'oedipus rex']",7,0,0
121,joe davis,"['marlene dietrich', 'marlene dietrich', 'manuela vargas', 'irma la douce']",4,0,0
122,robert davison,"['great to be alive', 'galileo', 'miracle in the mountains', 'the great campaign', 'a flag is born', 'around the world', 'o mistress mine', 'the day before spring', 'hand in glove', 'embezzled heaven', 'song of norway']",11,0,0
