,Designer Names,Plays,Number of Plays,Tony?,Number of Tony Nominations/Wins
43,ursula belden,"['quilters', 'amadeus', 'something old something new']",3,0,0
44,joseph f bella,['the waltz of the toreadors'],1,0,0
45,charles bellin,"['the utter glory of morrissey hall', 'hamlet', 'hello dolly', 'autobiography', 'comdie franaise program', 'comdie franaise program', 'comdie franaise program', 'one eye closed', 'dame nature', 'dead end', 'achilles had a heel', 'field of ermine', 'richard of bordeaux', 'music in the air', 'no more frontier']",15,0,0
46,ludwig bemelmans,"['now i lay me down to sleep', 'noah']",2,0,0
47,alexandre benois,"['petrouchka', 'auroras wedding', 'chauve souris']",3,0,0
48,j harry benrimo,"['right of happiness', 'the well of romance', 'the yellow jacket', 'creoles', 'cherry blossoms', 'good night paul', 'the willow tree', 'love o mike', 'follow me', 'the yellow jacket', 'the girl from brazil', 'see america first', 'ruggles of red gap', 'alone at last', 'the blue paradise', 'hands up', 'nobody home', 'taking chances', 'the peasant girl', 'lady luxury', 'the yellow jacket', 'maggie pepper', 'keeping up appearances', 'beethoven', 'the heights', 'an englishmans home', 'the girl of the golden west', 'the girl of the golden west', 'the rose of the rancho', 'the girl of the golden west', 'adrea', 'the darling of the gods', 'the darling of the gods', 'the hunchback', 'laiglon', 'my ladys lord', 'lord and lady algy', 'lord and lady algy']",38,0,0
49,christian berard,"['amphitryon  les fourberies de scapin', 'the school for wives', 'lecole des femmes', 'roland petits les ballets de paris', 'the madwoman of chaillot']",5,0,0
50,aline bernstein,"['mary rose', 'an enemy of the people', 'lets make an opera', 'burning bright', 'the happy time', 'regina', 'the eagle has two heads', 'harriet', 'the searching wind', 'feathers in a gale', 'the innocent voyage', 'harriet', 'the willow and i', 'the male animal', 'the little foxes', 'american landscape', 'to quito and back', 'storm over patsy', 'days to come', 'and stars remain', 'a sunny morning', 'camille', 'night in the house', 'the childrens hour', 'laiglon', 'between two worlds', 'judgment day', 'a hat a coat a glove', 'mackerel skies', 'thunder on the left', 'the cherry orchard', 'we the people', 'a good woman poor thing', 'firebird', 'the late christopher bean', 'liliom', 'clear all wires', 'reunion in vienna', 'alisons house', 'grand hotel', 'ruth draper', 'peter pan', 'the cherry orchard', 'the would be gentleman', 'hedda gabler', 'grand street follies', 'grand street follies', 'grand street follies', 'grand street follies', 'the gingham girl', 'gertrude kingston and a visiting company']",51,0,0
51,gabriel berry,['cuba his teddy bear'],1,0,0
52,ken billington,"['gettin the band back together', 'sunday in the park with george', 'dames at sea', 'amazing grace', 'it shoulda been you', 'act one', 'chaplin', 'dont dress for dinner', 'shatners world we just live in it', 'hugh jackman back on broadway', 'the scottsboro boys', 'sondheim on sondheim', 'looped', 'irving berlins white christmas', 'finians rainbow', 'bye bye birdie', 'the story of my life', 'irving berlins white christmas', 'title of show', 'sunday in the park with george', 'high fidelity', 'the drowsy chaperone', 'ring of fire', 'drowning crow', 'dance of the vampires', 'if you ever leave meim going with you', 'the search for signs of intelligent life in the universe', 'riverdance  on broadway', 'waiting in the wings', 'footloose', 'an evening with jerry herman', 'candide', 'dream', 'annie', 'chicago', 'the apple doesnt fall', 'inherit the wind', 'hello dolly', 'moon over buffalo', 'buttons on broadway', 'a little more magic', 'the red shoes', 'aint broadway grand', 'metro', 'the big love', 'fiddler on the roof', 'lettice and lovage', 'tru', 'meet me in st louis', 'late nite comic', 'roza', 'stardust', 'sweet sue', 'a little like magic', 'jerome kern goes to hollywood', 'grind', 'home front', 'the three musketeers', 'end of the world', 'play memory', 'shirley maclaine on broadway', 'foxfire', 'a dolls life', 'blues in the night', 'a talent for murder', 'my fair lady', 'fiddler on the roof', 'wallys cafe', 'copperfield', 'perfectly frank', 'happy new year', 'but never jam today', 'the madwoman of central park west', 'sweeney todd', 'working', 'on the twentieth century', 'do you turn somersaults', 'some of my best friends', 'side by side by sondheim', 'fiddler on the roof', 'wheelbarrow closers', 'checking out', 'sweet bird of youth', 'the skin of our teeth', 'rodgers hart', 'the hashish club', 'the member of the wedding', 'the rules of the game', 'love for love', 'hosanna', 'bad habits', 'holiday', 'chemin de fer', 'the visit', 'dont bother me i cant cope', 'applause', 'blood red roses', 'after the rain']",98,0,0
53,jonathan bixby,"['urinetown', 'band in berlin', 'street corner symphony', 'hello dolly']",4,0,0
54,maria bjrnson,"['cat on a hot tin roof', 'aspects of love', 'the phantom of the opera']",3,1,1
55,robert blackman,['division street'],1,0,0
56,sue blane,"['the rocky horror show', 'the rocky horror show']",2,0,0
57,john blankenchip,"['the long watch', 'angel in the pawnshop', 'winged victory']",3,0,0
58,bill blass,['a talent for murder'],1,0,0
59,rose bogdanoff,"['the trip to bountiful', 'the rose tattoo', 'peer gynt', 'bravo', 'summer and smoke', 'me and molly', 'a long way from home', 'kathleen', 'the survivors', 'the great campaign', 'lands end', 'lysistrata', 'its a gift', 'the stranger', 'sophie', 'last stop', 'war president', 'chicken every sunday', 'storm operation', 'the patriots', 'ill take the high road', 'a new life', 'the patriots', 'nathan the wise', 'the cream in the well', 'stars in your eyes', 'hamlet']",27,0,0
60,d rusty bonaccorso,"['zorba', 'cabaret', 'its a birdits a planeits superman', 'anya', 'skyscraper', 'baker street', 'fiddler on the roof', 'little me', 'a funny thing happened on the way to the forum', 'take her shes mine']",10,0,0
61,zachary borovay,"['holler if ya hear me', 'waiting for godot', 'no mans land', 'ann', 'elf', 'evita', 'elf', 'lombardi', 'rock of ages', 'to be or not to be', 'a catered affair', 'xanadu', 'grey gardens', 'in my life', 'the good body', 'dance of the vampires', 'thoroughly modern millie']",17,0,0
62,melvin bourne,"['end as a man', 'my darlin aida', 'seagulls over sorrento', 'the male animal', 'the male animal', 'seventeen']",6,0,0
63,dave bova,"['be more chill', 'm butterfly', 'bandstand', 'indecent', 'sunset boulevard', 'the real thing', 'violet']",7,0,0
64,shawn e boyle,"['the people in the picture', 'impressionism', 'thurgood', 'wicked']",4,0,0
65,john boyt,"['othello', 'sponono', 'the lovers', 'debut', 'the wooden dish', 'carousel', 'die fledermaus', 'show boat', 'misalliance', 'marie marchowsky', 'antony and cleopatra', 'years ago', 'the playboy of the western world', 'a flag is born']",14,0,0
66,claude bragdon,"['an enemy of the people', 'cyrano de bergerac', 'achilles had a heel', 'hamlet', 'cyrano de bergerac', 'the bonds of interest', 'king henry v', 'cyrano de bergerac']",8,0,0
67,robert brand,"['only fools are sad', 'what makes sammy run']",2,0,0
68,eugene braun,"['howdy mr ice of', 'howdy mr ice', 'icetime of', 'icetime', 'hats off to ice', 'stars on ice', 'stars on ice', 'white horse inn']",8,0,0
69,marc brickman,"['the rascals once upon a dream', 'young frankenstein']",2,0,0
70,kenneth bridgeman,['semi detached'],1,0,0
71,brilliant oneil,['the seventh heart'],1,0,0
72,herbert brodkin,"['something about a soldier', 'texas lil darlin', 'the silver whistle', 'the insect comedy', 's s glencairn', 'the alchemist', 'angel street', 'volpone', 'caribbean carnival', 'this time tomorrow', 'virginia reel', 'as we forgive our debtors', 'odaniel']",13,0,0
